DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BE,2022,11685814,p
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,1994,8443591,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,1995,8406067,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,1996,8362826,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,1997,8312068,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,1998,8256786,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,1999,8210624,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2000,8170172,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2001,8009142,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2002,7837161,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2003,7775327,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2004,7716860,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2005,7658972,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2006,7601022,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2007,7545338,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2008,7492561,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2009,7444443,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2010,7395599,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2011,7348328,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2012,7305888,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2013,7265115,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2014,7223938,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2015,7177991,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2016,7127822,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2017,7075947,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2018,7025037,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2019,6975761,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2020,6934015,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2021,6877743,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,BG,2022,6465097,b
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,1994,6993795,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,1995,7040687,
