DATAFLOW,LAST UPDATE,freq,unit,smoking,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,MT,2019,19.9,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,NL,2014,19.0,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,NL,2019,15.1,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,NO,2014,12.9,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,PL,2014,22.7,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,PL,2019,19.4,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,PT,2014,16.8,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,PT,2019,14.3,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,RO,2014,19.8,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,RO,2019,18.9,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,SE,2014,9.3,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,SE,2019,7.0,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,SI,2014,18.7,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,SI,2019,17.0,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,SK,2014,22.8,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,SK,2019,21.0,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,TR,2014,27.3,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,UK,2014,13.9,
