DATAFLOW,LAST UPDATE,freq,unit,physact,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,MT,2014,5.2,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,MT,2019,5.6,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,NL,2019,17.1,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,NO,2014,21.6,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,PL,2014,4.1,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,PL,2019,6.4,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,PT,2014,6.9,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,PT,2019,7.1,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,RO,2014,0.8,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,RO,2019,1.7,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,SE,2014,31.6,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,SE,2019,32.6,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,SI,2014,19.6,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,SI,2019,13.6,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,SK,2014,10.2,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,SK,2019,9.9,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,TR,2014,1.2,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,UK,2014,13.8,
